date,signups,activations,churned_customers,mrr_usd,trials_started
2026-06-15,28,20,1,181405,30
2026-06-16,23,16,0,184258,27
2026-06-17,24,15,1,186440,34
2026-06-18,21,11,0,188011,29
2026-06-19,23,12,1,189496,46
2026-06-20,8,6,1,190423,13
2026-06-21,10,7,1,191521,7
2026-06-22,32,23,1,194843,46
2026-06-23,27,15,1,196486,26
2026-06-24,27,17,0,199194,28
2026-06-25,16,7,0,200702,34
2026-06-26,28,21,0,203468,30
2026-06-27,11,7,0,204690,15
2026-06-28,9,6,1,205505,21
2026-06-29,24,12,0,207812,21
2026-06-30,30,19,0,211038,43
2026-07-01,26,11,1,212495,38
2026-07-02,23,13,1,214840,26
2026-07-03,29,19,0,217677,29
2026-07-04,14,10,0,219434,11
2026-07-05,11,5,2,220038,17
2026-07-06,27,14,1,221635,34
2026-07-07,21,9,4,221247,31
2026-07-08,21,8,3,220464,22
2026-07-09,28,13,7,219028,31
2026-07-10,23,11,5,218201,25
2026-07-11,9,5,3,217714,11
2026-07-12,11,5,10,213058,11
2026-07-13,36,21,2,216060,38
2026-07-14,32,17,2,217966,35
2026-07-15,33,24,2,221902,46
2026-07-16,33,23,0,225958,36
2026-07-17,27,15,0,228747,29
2026-07-18,11,6,1,229927,11
2026-07-19,12,7,1,230828,14
